country,year,tourism_reliance,remittance_reliance,is_oil_exporter,tourism_arrivals_growth,oil_price_usd,remittance_growth,inflation,world_growth,crisis_year,pandemic_year,gdp_growth
Jamaica,2004,0.34,0.2,0,3.09,35.21,-0.46,7.19,3.19,0,0,2.24
Jamaica,2005,0.34,0.2,0,9.32,41.58,2.22,3.1,0.25,0,0,3.48
Jamaica,2006,0.34,0.2,0,2.43,52.51,8.31,3.4,1.75,0,0,3.66
Jamaica,2007,0.34,0.2,0,2.17,66.14,-6.82,4.38,3.8,0,0,1.9
Jamaica,2008,0.34,0.2,0,1.07,62.28,2.97,2.63,1.28,0,0,2.68
Jamaica,2009,0.34,0.2,0,2.82,90.51,3.73,4.03,1.66,1,0,-2.15
Jamaica,2010,0.34,0.2,0,2.21,57.81,2.43,3.9,2.63,0,0,3.3
Jamaica,2011,0.34,0.2,0,-5.41,52.19,2.9,2.22,4.31,0,0,2.78
Jamaica,2012,0.34,0.2,0,8.09,42.41,-1.44,3.83,3.66,0,0,4.79
Jamaica,2013,0.34,0.2,0,2.4,25.89,0.39,2.58,-0.71,0,0,2.36
Jamaica,2014,0.34,0.2,0,2.93,26.76,-1.18,2.82,2.92,0,0,3.74
Jamaica,2015,0.34,0.2,0,9.71,24.26,5.69,9.23,0.78,0,0,4.13
Jamaica,2016,0.34,0.2,0,6.71,43.37,7.38,7.31,2.74,0,0,4.54
Jamaica,2017,0.34,0.2,0,0.21,31.01,7.93,3.72,4.11,0,0,5.39
Jamaica,2018,0.34,0.2,0,9.27,17.49,7.85,2.79,4.73,0,0,5.17
Jamaica,2019,0.34,0.2,0,4.58,19.2,4.46,4.75,2.26,0,0,3.77
Jamaica,2020,0.34,0.2,0,7.21,15.0,2.89,7.99,2.13,1,1,-6.47
Jamaica,2021,0.34,0.2,0,5.58,27.67,6.9,1.93,3.26,0,0,5.93
Jamaica,2022,0.34,0.2,0,1.43,36.97,-3.66,2.86,5.53,0,0,4.97
Jamaica,2023,0.34,0.2,0,5.07,39.72,7.23,1.0,2.7,0,0,5.32
Trinidad and Tobago,2004,0.08,0.03,1,2.48,33.58,1.77,3.03,2.37,0,0,2.45
Trinidad and Tobago,2005,0.08,0.03,1,2.74,65.91,2.2,5.23,3.7,0,0,4.01
Trinidad and Tobago,2006,0.08,0.03,1,4.57,57.05,-2.11,3.21,2.92,0,0,2.9
Trinidad and Tobago,2007,0.08,0.03,1,2.38,68.04,6.14,0.0,-0.62,0,0,3.33
Trinidad and Tobago,2008,0.08,0.03,1,2.77,76.51,-0.66,6.02,4.7,0,0,4.72
Trinidad and Tobago,2009,0.08,0.03,1,2.41,62.82,2.13,1.79,5.3,1,0,-2.81
Trinidad and Tobago,2010,0.08,0.03,1,-2.04,73.7,1.91,7.83,1.93,0,0,4.36
Trinidad and Tobago,2011,0.08,0.03,1,2.84,48.09,-0.7,2.56,3.34,0,0,2.56
Trinidad and Tobago,2012,0.08,0.03,1,3.1,42.76,3.97,3.24,2.4,0,0,0.81
Trinidad and Tobago,2013,0.08,0.03,1,5.13,37.67,4.05,5.59,1.33,0,0,1.84
Trinidad and Tobago,2014,0.08,0.03,1,3.28,33.17,7.11,3.62,3.73,0,0,3.96
Trinidad and Tobago,2015,0.08,0.03,1,-4.45,21.67,3.26,3.64,1.01,0,0,-0.88
Trinidad and Tobago,2016,0.08,0.03,1,13.25,44.94,-1.89,4.48,4.63,0,0,2.82
Trinidad and Tobago,2017,0.08,0.03,1,2.49,15.0,3.88,2.79,4.01,0,0,-0.31
Trinidad and Tobago,2018,0.08,0.03,1,9.63,15.0,4.05,2.94,3.35,0,0,1.03
Trinidad and Tobago,2019,0.08,0.03,1,6.21,15.75,-2.65,0.66,4.2,0,0,1.67
Trinidad and Tobago,2020,0.08,0.03,1,4.79,31.33,-3.8,3.33,2.53,1,1,-5.15
Trinidad and Tobago,2021,0.08,0.03,1,8.94,19.62,10.42,5.15,4.91,0,0,0.4
Trinidad and Tobago,2022,0.08,0.03,1,-8.28,30.64,-2.95,2.36,3.15,0,0,1.63
Trinidad and Tobago,2023,0.08,0.03,1,-1.86,47.59,4.68,6.6,3.04,0,0,1.94
Barbados,2004,0.4,0.05,0,7.55,35.07,3.28,5.86,1.96,0,0,4.91
Barbados,2005,0.4,0.05,0,4.65,48.33,2.47,6.47,1.2,0,0,0.86
Barbados,2006,0.4,0.05,0,7.01,43.14,5.55,5.44,3.7,0,0,4.76
Barbados,2007,0.4,0.05,0,-5.24,40.96,5.39,1.71,5.24,0,0,2.41
Barbados,2008,0.4,0.05,0,-4.76,85.39,0.08,1.13,2.91,0,0,2.69
Barbados,2009,0.4,0.05,0,2.07,66.43,3.22,0.0,2.92,1,0,-1.47
Barbados,2010,0.4,0.05,0,0.01,48.23,5.92,5.2,1.66,0,0,3.05
Barbados,2011,0.4,0.05,0,-5.77,54.92,-9.44,3.39,1.13,0,0,0.09
Barbados,2012,0.4,0.05,0,-2.12,59.26,7.44,6.56,2.2,0,0,-0.0
Barbados,2013,0.4,0.05,0,-4.45,45.74,-3.51,2.7,2.57,0,0,1.98
Barbados,2014,0.4,0.05,0,1.01,30.91,1.13,4.69,4.11,0,0,4.17
Barbados,2015,0.4,0.05,0,-6.66,23.83,8.86,1.54,4.48,0,0,3.0
Barbados,2016,0.4,0.05,0,5.01,15.0,-6.51,5.32,2.41,0,0,4.4
Barbados,2017,0.4,0.05,0,10.35,15.0,4.83,5.07,2.39,0,0,4.38
Barbados,2018,0.4,0.05,0,1.5,19.66,5.09,4.89,4.07,0,0,3.95
Barbados,2019,0.4,0.05,0,-5.08,18.18,-0.39,5.13,2.55,0,0,2.58
Barbados,2020,0.4,0.05,0,6.51,21.43,4.22,3.78,3.21,1,1,-5.88
Barbados,2021,0.4,0.05,0,6.72,24.15,7.2,4.53,2.26,0,0,4.44
Barbados,2022,0.4,0.05,0,-0.27,15.0,-2.7,2.23,1.36,0,0,2.88
Barbados,2023,0.4,0.05,0,-0.72,53.81,-4.03,5.08,0.38,0,0,1.71
Bahamas,2004,0.5,0.02,0,0.45,46.2,4.53,2.39,0.31,0,0,2.91
Bahamas,2005,0.5,0.02,0,-4.36,52.72,0.4,6.55,4.03,0,0,1.45
Bahamas,2006,0.5,0.02,0,-2.01,50.67,-2.14,1.72,2.55,0,0,3.03
Bahamas,2007,0.5,0.02,0,2.88,51.16,5.97,4.33,5.81,0,0,5.37
Bahamas,2008,0.5,0.02,0,5.56,74.91,-1.3,3.62,1.1,0,0,3.73
Bahamas,2009,0.5,0.02,0,2.47,70.61,-3.79,4.81,1.0,1,0,-4.33
Bahamas,2010,0.5,0.02,0,10.39,70.41,0.34,6.05,4.8,0,0,7.48
Bahamas,2011,0.5,0.02,0,-11.53,73.28,2.14,1.38,3.0,0,0,-0.58
Bahamas,2012,0.5,0.02,0,5.83,52.61,-0.04,3.42,3.62,0,0,5.32
Bahamas,2013,0.5,0.02,0,0.09,36.23,1.98,5.79,4.83,0,0,3.47
Bahamas,2014,0.5,0.02,0,10.13,37.34,0.0,1.46,3.53,0,0,7.85
Bahamas,2015,0.5,0.02,0,9.52,34.01,-2.23,3.23,3.51,0,0,6.83
Bahamas,2016,0.5,0.02,0,2.0,23.77,4.86,1.09,2.89,0,0,2.93
Bahamas,2017,0.5,0.02,0,2.57,15.76,0.72,1.04,3.46,0,0,5.9
Bahamas,2018,0.5,0.02,0,9.06,15.0,6.23,4.88,2.59,0,0,5.92
Bahamas,2019,0.5,0.02,0,4.87,15.0,-2.26,3.53,4.17,0,0,5.8
Bahamas,2020,0.5,0.02,0,1.02,15.0,-1.39,4.37,2.92,1,1,-8.19
Bahamas,2021,0.5,0.02,0,1.65,20.45,-3.5,2.78,5.62,0,0,3.25
Bahamas,2022,0.5,0.02,0,3.89,31.6,-3.76,5.2,4.96,0,0,4.58
Bahamas,2023,0.5,0.02,0,2.8,45.36,-0.35,2.07,2.94,0,0,6.34
Guyana,2004,0.05,0.08,1,4.3,33.29,-1.61,5.26,1.09,0,0,0.88
Guyana,2005,0.05,0.08,1,7.25,38.97,3.74,4.66,1.73,0,0,0.92
Guyana,2006,0.05,0.08,1,-1.24,55.05,7.04,4.4,1.85,0,0,2.44
Guyana,2007,0.05,0.08,1,-8.52,54.56,-3.37,7.17,2.33,0,0,3.72
Guyana,2008,0.05,0.08,1,1.69,61.36,1.89,7.45,3.84,0,0,3.04
Guyana,2009,0.05,0.08,1,-5.06,61.51,8.14,5.29,0.28,1,0,-5.06
Guyana,2010,0.05,0.08,1,3.34,90.33,1.94,1.18,3.69,0,0,7.49
Guyana,2011,0.05,0.08,1,4.71,47.79,5.47,1.67,2.51,0,0,2.36
Guyana,2012,0.05,0.08,1,5.83,45.11,-4.91,5.6,1.92,0,0,0.81
Guyana,2013,0.05,0.08,1,-1.35,27.1,8.24,4.1,3.74,0,0,1.58
Guyana,2014,0.05,0.08,1,10.18,44.89,4.45,4.06,2.36,0,0,1.75
Guyana,2015,0.05,0.08,1,-3.68,38.72,4.47,1.88,2.47,0,0,1.48
Guyana,2016,0.05,0.08,1,7.61,15.73,2.76,5.15,1.59,0,0,-0.77
Guyana,2017,0.05,0.08,1,-3.01,15.0,5.02,6.63,2.12,0,0,-1.89
Guyana,2018,0.05,0.08,1,4.39,15.0,-1.1,2.16,2.98,0,0,-0.11
Guyana,2019,0.05,0.08,1,-1.69,15.0,4.29,3.25,3.14,0,0,-1.18
Guyana,2020,0.05,0.08,1,4.5,20.67,7.75,5.62,3.15,1,1,-5.66
Guyana,2021,0.05,0.08,1,8.23,44.41,5.4,5.73,1.0,0,0,2.03
Guyana,2022,0.05,0.08,1,3.01,19.53,3.16,5.06,2.07,0,0,-1.41
Guyana,2023,0.05,0.08,1,-0.23,38.42,-0.36,6.67,4.11,0,0,1.94
Haiti,2004,0.05,0.35,0,-6.14,33.3,-9.09,7.13,2.02,0,0,0.04
Haiti,2005,0.05,0.35,0,1.47,49.64,7.39,5.71,4.99,0,0,5.9
Haiti,2006,0.05,0.35,0,0.67,62.29,-0.32,6.68,3.9,0,0,3.25
Haiti,2007,0.05,0.35,0,4.63,69.15,6.52,3.26,2.7,0,0,4.56
Haiti,2008,0.05,0.35,0,6.39,82.32,0.18,4.48,4.63,0,0,4.62
Haiti,2009,0.05,0.35,0,9.32,59.71,-1.31,5.87,1.47,1,0,-4.24
Haiti,2010,0.05,0.35,0,4.0,56.74,9.29,3.64,3.92,0,0,5.99
Haiti,2011,0.05,0.35,0,-0.5,60.67,1.08,4.62,6.89,0,0,4.9
Haiti,2012,0.05,0.35,0,-2.2,52.28,-1.53,7.05,4.95,0,0,2.98
Haiti,2013,0.05,0.35,0,9.02,42.07,5.3,0.45,2.29,0,0,5.6
Haiti,2014,0.05,0.35,0,5.55,15.0,3.2,9.27,2.21,0,0,1.27
Haiti,2015,0.05,0.35,0,-5.14,25.99,-1.62,3.96,2.07,0,0,2.47
Haiti,2016,0.05,0.35,0,7.85,15.0,-0.15,3.37,4.39,0,0,4.77
Haiti,2017,0.05,0.35,0,5.07,15.0,3.29,4.64,0.57,0,0,2.54
Haiti,2018,0.05,0.35,0,7.08,15.0,1.11,1.98,2.09,0,0,2.35
Haiti,2019,0.05,0.35,0,2.44,15.0,-4.84,0.0,3.75,0,0,2.83
Haiti,2020,0.05,0.35,0,2.66,24.32,3.04,2.11,1.77,1,1,-2.53
Haiti,2021,0.05,0.35,0,4.07,22.02,5.31,4.47,2.93,0,0,5.03
Haiti,2022,0.05,0.35,0,-2.39,34.11,6.67,4.33,0.54,0,0,2.59
Haiti,2023,0.05,0.35,0,4.61,54.51,5.76,2.91,3.94,0,0,5.52
Dominican Republic,2004,0.17,0.09,0,10.22,52.5,9.16,1.24,5.62,0,0,5.8
Dominican Republic,2005,0.17,0.09,0,11.53,32.62,5.92,4.05,4.62,0,0,5.82
Dominican Republic,2006,0.17,0.09,0,3.11,73.03,9.98,1.67,3.06,0,0,4.5
Dominican Republic,2007,0.17,0.09,0,-1.04,73.24,3.2,2.0,4.17,0,0,4.57
Dominican Republic,2008,0.17,0.09,0,-3.77,73.78,3.68,0.75,1.24,0,0,2.25
Dominican Republic,2009,0.17,0.09,0,5.56,92.16,4.77,5.11,2.33,1,0,-4.08
Dominican Republic,2010,0.17,0.09,0,6.45,67.41,2.84,6.15,5.19,0,0,3.29
Dominican Republic,2011,0.17,0.09,0,2.4,47.19,5.58,6.82,7.8,0,0,4.85
Dominican Republic,2012,0.17,0.09,0,16.24,51.8,1.92,4.0,1.34,0,0,5.45
Dominican Republic,2013,0.17,0.09,0,3.67,39.01,6.61,0.88,5.34,0,0,5.37
Dominican Republic,2014,0.17,0.09,0,3.96,42.95,12.25,4.95,3.08,0,0,3.47
Dominican Republic,2015,0.17,0.09,0,-0.01,38.82,0.86,3.6,5.41,0,0,4.85
Dominican Republic,2016,0.17,0.09,0,5.62,24.3,3.32,4.92,3.27,0,0,4.66
Dominican Republic,2017,0.17,0.09,0,6.1,15.0,2.56,3.58,2.55,0,0,5.07
Dominican Republic,2018,0.17,0.09,0,3.63,15.0,3.94,5.48,0.52,0,0,2.2
Dominican Republic,2019,0.17,0.09,0,-3.17,15.51,10.98,5.42,2.63,0,0,3.08
Dominican Republic,2020,0.17,0.09,0,3.6,15.0,1.22,4.2,3.48,1,1,-2.95
Dominican Republic,2021,0.17,0.09,0,6.39,20.4,-0.35,3.64,0.59,0,0,2.46
Dominican Republic,2022,0.17,0.09,0,5.76,51.05,3.56,4.26,1.34,0,0,1.61
Dominican Republic,2023,0.17,0.09,0,10.56,32.7,3.75,2.91,3.72,0,0,4.64
Saint Lucia,2004,0.41,0.03,0,-5.18,55.63,3.57,4.5,4.18,0,0,2.25
Saint Lucia,2005,0.41,0.03,0,2.43,51.95,1.19,6.06,2.22,0,0,1.29
Saint Lucia,2006,0.41,0.03,0,1.03,95.49,2.7,2.16,3.61,0,0,5.51
Saint Lucia,2007,0.41,0.03,0,-3.99,58.07,0.45,2.65,1.34,0,0,0.17
Saint Lucia,2008,0.41,0.03,0,5.72,77.85,4.55,2.35,6.44,0,0,6.94
Saint Lucia,2009,0.41,0.03,0,-6.57,77.33,2.96,2.54,5.38,1,0,-3.61
Saint Lucia,2010,0.41,0.03,0,-1.05,86.71,-4.52,3.15,3.28,0,0,2.4
Saint Lucia,2011,0.41,0.03,0,10.46,73.7,0.56,2.54,5.67,0,0,8.36
Saint Lucia,2012,0.41,0.03,0,6.41,50.73,5.59,0.0,0.32,0,0,4.93
Saint Lucia,2013,0.41,0.03,0,1.98,48.12,-0.67,4.51,6.22,0,0,3.36
Saint Lucia,2014,0.41,0.03,0,5.71,36.16,3.65,4.34,3.48,0,0,4.15
Saint Lucia,2015,0.41,0.03,0,1.51,32.46,1.53,5.34,3.52,0,0,3.12
Saint Lucia,2016,0.41,0.03,0,1.97,16.18,8.35,4.23,2.84,0,0,3.64
Saint Lucia,2017,0.41,0.03,0,5.61,15.0,-0.07,3.95,3.42,0,0,4.5
Saint Lucia,2018,0.41,0.03,0,3.07,25.19,3.87,6.7,2.83,0,0,3.49
Saint Lucia,2019,0.41,0.03,0,-7.89,15.0,-1.11,2.73,4.73,0,0,2.05
Saint Lucia,2020,0.41,0.03,0,9.71,15.0,7.75,4.68,6.64,1,1,-3.72
Saint Lucia,2021,0.41,0.03,0,-1.05,15.0,-0.79,2.76,0.82,0,0,1.83
Saint Lucia,2022,0.41,0.03,0,1.12,41.31,5.31,3.5,4.02,0,0,4.03
Saint Lucia,2023,0.41,0.03,0,-1.94,50.15,1.55,2.17,4.5,0,0,3.73
Grenada,2004,0.24,0.11,0,1.44,45.54,-4.83,3.78,4.17,0,0,2.61
Grenada,2005,0.24,0.11,0,2.48,48.32,-2.33,0.99,3.56,0,0,3.61
Grenada,2006,0.24,0.11,0,4.16,49.72,3.64,4.62,0.23,0,0,2.64
Grenada,2007,0.24,0.11,0,10.07,72.6,0.94,5.45,2.57,0,0,3.7
Grenada,2008,0.24,0.11,0,-6.33,63.29,0.24,3.45,4.48,0,0,2.4
Grenada,2009,0.24,0.11,0,2.07,64.28,0.55,4.64,3.52,1,0,-2.66
Grenada,2010,0.24,0.11,0,15.5,95.99,6.48,2.94,2.88,0,0,6.29
Grenada,2011,0.24,0.11,0,10.3,61.06,-0.52,0.83,4.02,0,0,7.68
Grenada,2012,0.24,0.11,0,5.06,35.22,-2.7,5.4,2.03,0,0,2.13
Grenada,2013,0.24,0.11,0,2.23,38.66,3.14,1.58,2.76,0,0,3.32
Grenada,2014,0.24,0.11,0,6.54,30.44,1.92,3.65,2.77,0,0,2.65
Grenada,2015,0.24,0.11,0,3.38,16.26,-7.35,6.36,3.28,0,0,3.88
Grenada,2016,0.24,0.11,0,-0.28,15.0,3.2,4.13,2.17,0,0,2.45
Grenada,2017,0.24,0.11,0,3.19,15.0,2.87,5.64,1.8,0,0,2.6
Grenada,2018,0.24,0.11,0,3.49,15.0,3.72,5.41,3.09,0,0,3.61
Grenada,2019,0.24,0.11,0,-7.53,15.0,2.1,5.64,2.8,0,0,1.65
Grenada,2020,0.24,0.11,0,-1.66,15.0,-2.92,5.54,2.42,1,1,-6.52
Grenada,2021,0.24,0.11,0,3.43,35.32,0.38,3.1,4.8,0,0,4.37
Grenada,2022,0.24,0.11,0,5.52,45.32,-5.7,0.0,4.74,0,0,5.48
Grenada,2023,0.24,0.11,0,7.46,38.64,5.4,2.89,2.82,0,0,4.83
Antigua and Barbuda,2004,0.45,0.02,0,4.18,39.07,-0.43,5.52,4.55,0,0,3.61
Antigua and Barbuda,2005,0.45,0.02,0,-0.44,55.94,4.55,4.69,4.36,0,0,4.48
Antigua and Barbuda,2006,0.45,0.02,0,4.82,80.1,1.38,3.51,2.15,0,0,3.67
Antigua and Barbuda,2007,0.45,0.02,0,3.05,79.54,5.05,1.94,2.77,0,0,3.87
Antigua and Barbuda,2008,0.45,0.02,0,6.79,55.44,5.55,3.56,2.61,0,0,6.05
Antigua and Barbuda,2009,0.45,0.02,0,4.2,73.95,2.57,2.65,5.44,1,0,-0.8
Antigua and Barbuda,2010,0.45,0.02,0,3.34,77.94,2.87,3.42,3.64,0,0,4.6
Antigua and Barbuda,2011,0.45,0.02,0,-5.42,52.26,-1.94,3.1,2.71,0,0,1.32
Antigua and Barbuda,2012,0.45,0.02,0,8.17,78.16,5.85,5.05,3.4,0,0,5.03
Antigua and Barbuda,2013,0.45,0.02,0,14.91,49.87,7.91,2.12,4.71,0,0,8.75
Antigua and Barbuda,2014,0.45,0.02,0,2.63,47.54,7.6,6.76,1.8,0,0,2.01
Antigua and Barbuda,2015,0.45,0.02,0,-5.15,15.0,0.5,2.21,4.23,0,0,1.62
Antigua and Barbuda,2016,0.45,0.02,0,0.82,15.42,-0.56,1.86,1.35,0,0,2.18
Antigua and Barbuda,2017,0.45,0.02,0,1.46,15.0,2.13,3.98,3.58,0,0,2.67
Antigua and Barbuda,2018,0.45,0.02,0,7.37,15.0,-3.06,4.61,2.52,0,0,6.15
Antigua and Barbuda,2019,0.45,0.02,0,2.02,15.0,0.87,2.76,1.7,0,0,2.4
Antigua and Barbuda,2020,0.45,0.02,0,-2.76,15.0,4.01,6.57,4.86,1,1,-8.66
Antigua and Barbuda,2021,0.45,0.02,0,0.4,17.16,-2.22,6.26,1.32,0,0,1.48
Antigua and Barbuda,2022,0.45,0.02,0,-0.46,15.0,-2.32,5.53,3.34,0,0,2.94
Antigua and Barbuda,2023,0.45,0.02,0,4.58,44.62,0.64,4.31,5.4,0,0,5.12
Belize,2004,0.22,0.06,0,2.56,42.99,8.55,8.43,4.36,0,0,2.61
Belize,2005,0.22,0.06,0,-3.38,45.41,-3.33,3.17,4.21,0,0,3.29
Belize,2006,0.22,0.06,0,3.15,40.02,0.42,6.29,1.12,0,0,3.26
Belize,2007,0.22,0.06,0,8.47,50.78,7.49,4.6,3.14,0,0,4.25
Belize,2008,0.22,0.06,0,-4.4,58.51,5.78,5.65,2.18,0,0,1.6
Belize,2009,0.22,0.06,0,-3.13,73.31,-4.32,5.73,2.5,1,0,-4.01
Belize,2010,0.22,0.06,0,7.18,64.21,1.58,5.24,2.67,0,0,4.38
Belize,2011,0.22,0.06,0,-5.43,53.56,-0.91,3.47,4.06,0,0,1.87
Belize,2012,0.22,0.06,0,4.26,70.54,1.75,4.38,5.15,0,0,6.48
Belize,2013,0.22,0.06,0,-0.18,35.85,3.43,3.96,4.0,0,0,4.36
Belize,2014,0.22,0.06,0,5.48,20.71,-0.5,2.95,3.48,0,0,4.81
Belize,2015,0.22,0.06,0,5.54,31.86,-6.31,4.56,-0.49,0,0,0.31
Belize,2016,0.22,0.06,0,2.76,15.69,-2.66,3.82,2.23,0,0,3.27
Belize,2017,0.22,0.06,0,6.98,15.0,3.78,5.12,3.52,0,0,4.74
Belize,2018,0.22,0.06,0,6.89,15.0,0.58,3.16,3.01,0,0,3.94
Belize,2019,0.22,0.06,0,5.03,15.0,-4.16,6.49,2.53,0,0,3.77
Belize,2020,0.22,0.06,0,4.66,15.0,6.18,4.55,4.41,1,1,-3.56
Belize,2021,0.22,0.06,0,8.32,25.72,8.12,2.52,2.41,0,0,4.56
Belize,2022,0.22,0.06,0,4.76,29.38,-1.22,1.2,4.0,0,0,5.07
Belize,2023,0.22,0.06,0,6.65,39.54,2.54,4.1,2.96,0,0,3.88
Suriname,2004,0.04,0.02,1,6.16,46.33,2.96,4.71,4.16,0,0,2.99
Suriname,2005,0.04,0.02,1,-4.67,42.01,8.44,3.2,4.91,0,0,3.7
Suriname,2006,0.04,0.02,1,4.4,69.05,1.82,4.36,4.75,0,0,5.04
Suriname,2007,0.04,0.02,1,-1.74,74.43,4.1,2.36,0.79,0,0,4.27
Suriname,2008,0.04,0.02,1,3.1,61.97,-2.26,3.82,3.73,0,0,3.39
Suriname,2009,0.04,0.02,1,10.63,70.56,7.47,4.07,5.52,1,0,-0.04
Suriname,2010,0.04,0.02,1,7.2,78.75,6.38,3.16,4.45,0,0,5.89
Suriname,2011,0.04,0.02,1,5.93,58.9,1.64,2.0,4.98,0,0,5.6
Suriname,2012,0.04,0.02,1,2.04,61.69,1.49,0.68,4.75,0,0,4.67
Suriname,2013,0.04,0.02,1,-1.08,19.04,0.91,3.91,4.0,0,0,0.89
Suriname,2014,0.04,0.02,1,-0.9,33.44,1.38,4.52,-0.24,0,0,-0.38
Suriname,2015,0.04,0.02,1,2.45,17.86,4.62,3.28,2.96,0,0,0.31
Suriname,2016,0.04,0.02,1,2.28,16.78,-1.71,3.18,5.98,0,0,2.93
Suriname,2017,0.04,0.02,1,5.61,15.0,-6.03,1.52,1.97,0,0,-1.97
Suriname,2018,0.04,0.02,1,0.42,15.0,5.43,4.9,1.41,0,0,-0.66
Suriname,2019,0.04,0.02,1,-2.99,15.0,-2.94,3.78,4.33,0,0,0.22
Suriname,2020,0.04,0.02,1,6.18,15.0,2.06,2.06,3.74,1,1,-5.9
Suriname,2021,0.04,0.02,1,9.57,29.93,-1.37,3.38,3.49,0,0,1.43
Suriname,2022,0.04,0.02,1,1.24,43.48,2.97,2.59,3.29,0,0,4.48
Suriname,2023,0.04,0.02,1,14.5,38.32,6.88,5.42,5.05,0,0,2.52
